id,kind,severity,status,area,summary,evidence,candidate_fix_ref,tests,memory_impact,windows_impact,confidence
BUG-001,bug,S2,fixed,JavaFX viewer UI,"Reflect checkbox could stack repeated transforms and clearing removed unrelated transforms.","src/java/billiards/viewer/Viewer.java:468; bug-audit/01-bug-register.md","","Manual reflect toggle test after launch.",low,low,high
BUG-002,bug,S1,fixed,Java wrapper concurrency,"vary3Cpp and vary4Cpp parse native output with parallel stream into plain ArrayList.","src/java/billiards/wrapper/Wrapper.java:621-682","candidate-fixes/BUG-002-003-004-wrapper-cleanup-and-parse.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs stress parse large vary output repeatedly; verify count/order.",medium,medium,high
BUG-003,bug,S1,fixed,JNA native memory,"varyCSCpp/vary3Cpp/vary4Cpp read CString result but never call cleanup_string.","src/java/billiards/wrapper/Wrapper.java:586-682; src/backend/cpp/wrapper.cpp:1230-1307","candidate-fixes/BUG-002-003-004-wrapper-cleanup-and-parse.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs repeated large vary runs with Native Memory Tracking or Process Explorer.",high,medium,high
BUG-004,bug,S2,fixed,JNA native memory,"calculateGradient frees only one CString; calculateGradient2 frees wrong object and leaks cstring2.","src/java/billiards/wrapper/Wrapper.java:549-574; src/backend/cpp/wrapper.cpp:1194-1231","candidate-fixes/BUG-002-003-004-wrapper-cleanup-and-parse.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs repeated gradient calls while watching native memory.",medium,low,high
BUG-005,bug,S2,fixed,Windows Gradle/native build,"Windows Gradle native build needed UCRT64 toolchain/link changes.","build.gradle; bug-audit/01-bug-register.md","","Run .\\gradlew.bat clean run from fresh shell.",low,high,high
BUG-006,bug,S2,needs repro,Runtime/source parity,"HashTriple source/runtime color and memory behavior diverge or are uncertain; Abdul aliases external mutable maps and collapses bulk colors to one defaultColor.","src/java/billiards/viewer/HashTriple.java:14-121; runtime patched HashTriple.class","candidate-fixes/BUG-006-hashtriple-parity.md","Compare cover rendering colors and memory against patched runtime.",medium,low,medium
BUG-007,bug,S1,fixed,JNA native memory,"Large OSNO/all-equation CInfoAll strings are allocated natively and never freed; confirmed in MAIN and Abdul.","src/java/billiards/wrapper/Wrapper.java:160-229,520-544; src/backend/cpp/wrapper.cpp:650-794; MAIN Ghidra/CFR artifacts","candidate-fixes/BUG-007-cinfoall-cleanup.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs large OSNO formula/all-equation run repeated under NMT/Process Explorer.",critical,medium,high
BUG-008,bug,S2,fixed,JNA ABI mapping,"CInfoAll Java field order did not match C++ struct; Java could read/free the wrong native char* fields on all-equation paths.","src/java/billiards/wrapper/CInfoAll.java:16-31; src/backend/headers/wrapper.hpp:29-39; Linux port Project_Improvement_Report.md B1","candidate-fixes/BUG-008-cinfoall-abi-test.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs runtime ABI slot test and all-equation comparison.",medium,medium,high
BUG-009,bug,S1,fixed,Native cover memory/concurrency,"cover/getEmpties/small_cover return pointers to static std::string buffers that retain largest capacity and are not thread-safe; MAIN runtime has same static symbols.","src/backend/cpp/verify.cpp:531-555,665-761,876-1015; src/backend/cpp/wrapper.cpp:112-180; MAIN Ghidra function index static destructors","candidate-fixes/BUG-009-cover-return-buffer.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs huge cover/not-filled memory run and concurrent cover smoke test.",critical,medium,high
BUG-010,bug,S2,fixed,Java task error handling,"VaryLTask checkStatus takes Optional by value, so ExecutionException does not propagate to caller.","src/java/billiards/viewer/VaryLTask.java:267-315","candidate-fixes/BUG-010-011-task-exception-propagation.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs forced Database.loadStorage failure inside VaryLTask and assert task fails visibly.",low,low,high
BUG-011,bug,S2,fixed,Java task error handling,"CycleVaryTask overwrites prior exception state for each future, so an early failed future can be erased by a later successful future.","src/java/billiards/viewer/CycleVaryTask.java:184-220","candidate-fixes/BUG-010-011-task-exception-propagation.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs first-future-failure/later-success test.",low,low,high
BUG-012,bug,S2,fixed,Java correctness/native path,"Wrapper.loadPictureLR uses lr == \'empty\' identity comparison instead of equals, selecting wrong native path for non-interned empty sentinel.","src/java/billiards/wrapper/Wrapper.java:334-354","candidate-fixes/BUG-012-string-equality.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs loadPictureLR with new String(\"empty\") smoke test.",low,low,high
BUG-013,bug,S1,fixed,Shutdown/native lifetime,"Main.stop destroys native ConnectionPool before shutting down the main executor; background tasks can use freed native DB pool.","src/java/billiards/viewer/Main.java:57-68; many tasks use ConnectionPool asynchronously","candidate-fixes/BUG-013-shutdown-order.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs close-app-during-long-native-task test; local per-window executors remain covered by BUG-027.",high,medium,high
BUG-014,bug,S2,fixed,Cancellation/thread visibility,"ProgressMultiTask.cancelled is a plain boolean set on FX thread and read from task/control flow without volatile/AtomicBoolean.","src/java/billiards/viewer/ProgressMultiTask.java","candidate-fixes/BUG-014-cancellation-visibility.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Cancel flag is now volatile. Still needs repeated multi-step cancel smoke test.",medium,low,medium
BUG-015,bug,S2,confirmed,Windows runtime paths,"tmp, cover, small_cover, fills.txt, search.txt, and other state files are relative to current working directory, which differs under Gradle, IDE, jar, and shortcuts.","src/java/billiards/viewer/Viewer.java:145,576-577; src/java/billiards/viewer/CoverWindow*.java; src/backend/cpp/verify.cpp cover dirs","candidate-fixes/BUG-015-app-directories.md","Launch from Gradle, IDE, jar, and Windows shortcut; verify same writable app data directory.",medium,high,high
BUG-016,bug,S3,fixed,File IO robustness,"Utils.readFromFile/writeToFile create only the target file, not parent directories, and use platform default charset.","src/java/billiards/viewer/Utils.java","candidate-fixes/BUG-016-file-helpers.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. File helpers now create parent directories and use UTF-8. Still needs nested-path/non-ASCII smoke test.",low,medium,high
BUG-017,bug,S2,fixed,Database correctness,"Database.codeAndOEMatch inner loop indexes codeNumbers[i] and OEPatternArray[i].charAt(i) instead of j, giving wrong validation or exceptions.","src/java/billiards/database/Database.java:444-463","candidate-fixes/BUG-017-code-oe-match.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs unit tests with multi-number code/OE strings, including mismatch at j > 0.",low,low,high
BUG-018,bug,S2,mitigated,Native cancellation/concurrency,"Native cancel_flag is global and reset inside each vary call, so concurrent native vary runs can cancel or uncancel each other. Java now serializes native VaryCS/Vary3/Vary4 calls with one fair ReentrantLock.","src/backend/headers/utils.hpp:20-23; src/backend/cpp/vary_cs.cpp:60,99; src/backend/cpp/vary3.cpp:26,64; src/backend/cpp/vary4.cpp:25,49; src/backend/cpp/wrapper.cpp:1317-1320; src/java/billiards/wrapper/Wrapper.java","candidate-fixes/BUG-018-native-cancel-token.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs UI smoke test: start a long vary, attempt another vary, verify native calls queue rather than overlap and first/cancel behavior is unaffected.",medium,low,high
BUG-019,bug,S1,fixed,Native vary4 correctness/performance,"fireAway4 calls makeStarts(startBilliard, movesMax, cores, ...) even though signature is depth,maxDepth; typical large moves disables intended split and small moves can generate wrong code lengths.","src/backend/cpp/vary4.cpp:144-218","candidate-fixes/BUG-019-vary4-start-depth.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs Vary4 output comparison for small and large move bounds.",high,medium,high
BUG-020,bug,S2,fixed,Thread pool sizing/startup,"Utils.numThreads is `(int)(availableProcessors * 0.5)`, which can be zero on 1-core systems and is not memory-aware for 8-16GB users.","src/java/billiards/viewer/Utils.java:52; src/java/billiards/viewer/Main.java:18; Admin.getConnectionPool(dbName, Utils.numThreads)","candidate-fixes/BUG-020-thread-count.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs -XX:ActiveProcessorCount=1 and -Dbilliards.threads tests.",medium,medium,high
BUG-021,bug,S1,fixed,Native math concurrency,"Native math/vary pipelines use hardware_concurrency directly or create one task/thread-local container per item; zero concurrency can hang/crash and large inputs can create thousands of threads/containers.","src/backend/headers/utils.hpp; src/backend/cpp/vary3.cpp; src/backend/cpp/vary4.cpp; src/backend/cpp/vary_cs.cpp; src/backend/cpp/bounding_inequalities.cpp; src/backend/cpp/unfolding.cpp; src/backend/cpp/equations.cpp","candidate-fixes/BUG-021-native-concurrency-bounds.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Native workers now use BILLIARDS_NATIVE_THREADS/default cap and bounded task chunks/inflight. Still needs BILLIARDS_NATIVE_THREADS=1/2/4 and large MRR/OSNO parity-memory tests.",critical,high,high
BUG-022,bug,S2,fixed,JavaFX shutdown responsiveness,"Utils.safeShutdownExecutor waits up to 20 minutes and is called from many JavaFX task event handlers, freezing the UI if workers do not terminate quickly.","src/java/billiards/viewer/Utils.java; src/java/billiards/viewer/Viewer.java; src/java/billiards/viewer/CycleVaryWindow.java","candidate-fixes/BUG-022-nonblocking-executor-shutdown.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. JavaFX callbacks now use Utils.shutdownExecutorAsync; background task finally blocks keep bounded blocking shutdown. Still needs cancel/finish UI responsiveness test.",medium,medium,high
BUG-023,bug,S2,fixed,Code parsing correctness,"Utils.convert and billiards.vary.Convert call get(0) before empty-list validation; Wrapper swallows parse exceptions and silently drops malformed native output lines.","src/java/billiards/viewer/Utils.java:99-126; src/java/billiards/vary/Convert.java:14-42; src/java/billiards/wrapper/Wrapper.java:595-677","candidate-fixes/BUG-023-empty-convert-and-parse-errors.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Empty converters now return Optional.empty; malformed native vary lines now throw. Still needs targeted parser tests.",low,low,high
BUG-024,bug,S2,fixed,Draw task cancellation,"Cancel is intended to save progress, but prior draw/vary task cancellation either let too much queued work continue or discarded completed work after the user cancelled.","src/java/billiards/viewer/GracefullyCancelable.java; Progress.java; ProgressWithStatus.java; ProgressMultiTask.java; DrawPictureTask.java; DrawPictureTaskTriples.java; DrawPictureTaskShowLR.java; DrawPictureTaskUseLR.java; DrawPictureTaskUseLRTest.java; DontDrawPictureTask.java; CycleVaryTask.java; PolyVaryTask.java; VaryLTask.java","candidate-fixes/BUG-024-draw-task-cancellation.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Graceful cancel now cancels queued futures, lets running work publish completed Storage, and returns through success handlers so partial progress is saved. Still needs manual long-cancel UI test.",high,medium,high
BUG-025,bug,S2,fixed,Use-LR draw shared state,"DrawPictureTaskUseLR uses static mutable breakPoint across all task instances; reads are outside the lock and state can leak between repeated or concurrent Use-LR runs.","src/java/billiards/viewer/DrawPictureTaskUseLR.java","candidate-fixes/BUG-025-uselr-static-breakpoint.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. breakPoint is now per task instance and read/cleared under its lock. Still needs sequential empty-result Use-LR smoke test.",low,low,high
BUG-026,bug,S2,fixed,Cover/stables UI state,"CoverWindow, SmallCoverWindow, StablesWindow, and versioned CoverWindow classes used static file-backed strings loaded at class initialization, making state shared across windows and stale after cwd/path changes.","src/java/billiards/viewer/CoverWindow.java; CoverWindow2.java; CoverWindow3.java; CoverWindow4.java; SmallCoverWindow.java; StablesWindow.java; CycleVaryWindow.java","candidate-fixes/BUG-026-static-cover-window-state.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Saved cover/stables text is now instance-local and loaded at window construction. Still needs manual multi-window edit/save smoke test.",medium,high,high
BUG-027,bug,S2,fixed,Executor lifecycle,"Several locally-created ExecutorServices are not shut down in finally blocks, so exceptions before normal shutdown can leak worker threads and keep Java/native work alive.","src/java/billiards/utils/BatchLoadStorage.java; src/java/patternfinder/SuperCheckTask.java; src/java/billiards/viewer/DontDrawPictureTask.java; src/java/billiards/viewer/DrawPictureTaskShowLR.java; DrawPictureTaskUseLR.java; DrawPictureTaskUseLRTest.java","candidate-fixes/BUG-027-executor-finally.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Locally-created executors now shut down in finally with outstanding future cancellation on errors/cancel. Still needs fault-injection/thread-count baseline test.",medium,medium,high
BUG-028,bug,S2,confirmed,Native file IO robustness,"Native open_file_read does not throw on missing files and can return empty content; open_file_write does not create parent directories.","src/backend/cpp/basic.cpp:15-45; src/backend/cpp/cover/load.cpp:6,34,223,237; src/backend/cpp/verify.cpp:565,594,814,843","candidate-fixes/BUG-028-native-file-helpers.md","Load missing cover file and assert clear error; write cover to missing parent directory and assert directory creation or explicit failure.",low,high,high
OPT-001,optimization,S1,open,Vary memory architecture,"Native vary accumulates vector<vector<int32_t>>, serializes to one native string, Java copies into one String, then split duplicates into arrays and objects.","src/backend/cpp/wrapper.cpp:1237-1307; src/backend/cpp/vary_cs.cpp:58-214; src/backend/cpp/vary3.cpp:24-181; src/backend/cpp/vary4.cpp:23-215; src/java/billiards/wrapper/Wrapper.java:586-682","candidate-fixes/OPT-001-stream-vary-results.md","Profile large vary peak RSS before/after streaming or line-reader path.",critical,medium,high
OPT-002,optimization,S2,open,Native vary scheduling,"compute_max_inflight estimates 16KB per task but each task can capture a long vector and classify with additional allocations; busy-wait sleep throttling is coarse.","src/backend/cpp/vary_cs.cpp:30-33,77-83,120-137; src/backend/cpp/vary3.cpp:45-57,99-111","candidate-fixes/OPT-002-vary-backpressure.md","Run with 8GB/16GB caps and confirm no swap storm.",high,medium,medium
OPT-003,optimization,S1,open,JavaFX rendering memory/performance,"Viewer.redoFromScratch submits one Future per pixel and stores a 600x600 Object array of futures on every full redraw.","src/java/billiards/viewer/Viewer.java:5640-5739","candidate-fixes/OPT-003-render-row-blocks.md","Profile redraw with many regions; replace per-pixel futures with row/block tasks and compare image output.",critical,low,high
BUG-029,bug,S3,fixed,Java save-dialog correctness,"SaveV3Window checks IOException messages with reference comparison to empty string, so null/empty/non-interned messages are handled incorrectly.","src/java/billiards/viewer/SaveV3Window.java:188,233,259","candidate-fixes/BUG-029-save-dialog-string-empty.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs forced IOException null/empty/non-empty dialog text check.",low,low,high
BUG-030,bug,S1,fixed,Native vary worker exception safety,"vary3 and vary_cs worker lambdas do not catch exceptions and decrement inflight only at the bottom; thrown exceptions can terminate the native process or leave the producer throttled forever.","src/backend/cpp/vary3.cpp:104-116; src/backend/cpp/vary_cs.cpp:128-140; src/backend/cpp/vary4.cpp:232-252","candidate-fixes/BUG-030-vary-worker-exception-safety.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs forced worker failure test to verify no terminate/hang.",high,medium,high
BUG-031,bug,S1,fixed,JNA ABI exception boundary,"Some exported native entry points can throw C++ exceptions across the C/JNA boundary, especially database_create, database_clear, create_connection_pool, and destroy_connection_pool.","src/backend/cpp/wrapper.cpp:58-67,98-106; src/backend/headers/wrapper.hpp:50-56","candidate-fixes/BUG-031-native-abi-exception-boundary.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs invalid DB path, zero pool size, and null destroy smoke tests.",medium,high,high
BUG-032,bug,S2,fixed,Build/runtime memory and debug configuration,"Gradle launch memory defaults are intentionally large for this program, but they were hardcoded with no temporary per-session override and native builds had no debug/portable CPU switch.","build.gradle","candidate-fixes/BUG-032-build-memory-debug-flags.md","Compile passed default and native-debug: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary; .\\gradlew.bat --no-daemon backendSharedLibrary -PbilliardsNativeDebug=true. Defaults remain -Xms2g/-Xmx10g/direct 2g; temporary overrides use -PbilliardsXms/-PbilliardsXmx/-PbilliardsDirectMemory or env vars.",high,high,high
BUG-033,bug,S2,confirmed,Mac build portability,"JavaFX platform is hardcoded to mac-aarch64 for every macOS machine, so Intel Macs will resolve the wrong JavaFX native artifacts.","build.gradle:10-15","candidate-fixes/BUG-033-mac-javafx-platform.md","On Apple Silicon and Intel Mac, run Gradle dependency resolution and launch JavaFX.",low,low,high
BUG-034,bug,S3,needs repro,Native test task portability,"testBackend uses a Unix-style executable path and Windows test link args differ from backend TBB naming, so backend tests may fail even after the app builds.","build.gradle:208-210,233-234","candidate-fixes/BUG-034-windows-native-test-task.md","Run .\\gradlew.bat testBackend on Windows after app build; verify executable path and TBB link name.",low,high,medium
BUG-035,bug,S2,fixed,JNA native memory,"copy_to_cpicture/copy_to_cinfo/copy_to_cinfoAll could leak already allocated char* fields if a later to_cstr allocation threw.","src/backend/cpp/wrapper.cpp; Linux port Project_Improvement_Report.md B6","","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Allocation-failure injection still recommended.",medium,medium,high
OPT-004,optimization,S1,fixed,Native OSNO/MRR performance,"Large polygon refinement now uses TBB corner evaluation and a capped Boost.Asio batch reducer, with sequential fallback for small curve counts.","src/backend/cpp/equations.cpp; src/backend/cpp/refine.cpp; src/backend/headers/refine.hpp; Linux port Project_Improvement_Report.md OSNO timings","","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Needs OSNO runtime result parity/perf comparison.",high,medium,medium
FEAT-001,feature,S3,fixed,Cover hole workflow,"Cover runs now write tmp/holes.txt and the Viewer has a Load Holes button that loads those coordinates through existing OBO navigation.","src/backend/cpp/cover/save.cpp; src/backend/headers/cover/save.hpp; src/backend/cpp/verify.cpp; src/java/billiards/viewer/Viewer.java; Linux port Project_Improvement_Report.md Load Holes Feature","","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Needs UI smoke test after a cover calculation.",low,medium,high
BUG-036,bug,S1,fixed,JavaFX cover responsiveness,"CoverWindow ran Wrapper.coverWrapper and coverWrapperAll synchronously on the JavaFX Application Thread, freezing the UI during long cover calculations.","src/java/billiards/viewer/CoverWindow.java; Linux port Project_Improvement_Report.md B10","","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs manual cover run to verify window remains responsive and failure alert appears on bad input.",medium,high,high
BUG-037,bug,S3,confirmed,Native debug build/legacy half-triple helpers,"At -O0 GCC emits unused static functions any_half_triples_positive and any_unstables_positive in verify.cpp; they reference declared but unimplemented HalfTripleInfo predicates and break the backend.dll link.","src/backend/cpp/verify.cpp:176,214; src/backend/headers/common.hpp:184-186; native-debug link failure from .\\gradlew.bat --no-daemon backendSharedLibrary -PbilliardsNativeDebug=true","candidate-fixes/BUG-037-native-debug-unused-half-triple-helpers.md","Gradle native debug now uses -Og so the opt-in debug build links. Still needs source cleanup: either implement the HalfTripleInfo predicates or delete the unused legacy static helpers after confirming they are not needed.",low,medium,high
